意识	意識	yi4shi5	realize; consciousness; awareness; sense
衣裳	衣裳	yi1shang5	clothes
实惠	實惠	shi2hui4	substantial material benefit; advantageous (deal)
见义勇为	見義勇為	jian4yi4yong3wei2	to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause
取缔	取締	qu3di4	to ban; suppress
落实	落實	luo4shi2	workable; implement
效益	效益	xiao4yi4	benefit；results
聋哑	聾啞	long2ya3	deaf and dumb; deaf-mute
奠定	奠定	dian4ding4	establish; to found; to settle
叮嘱	叮囑	ding1zhu3	urge again and again; exhort; repeatedly warn
见多识广	見多識廣	jian4duo1shi2guang3	experienced and knowledgeable
不由得	不由得	bu4you2de5	can't help; cannot but
贤惠	賢惠	xian2hui4	virtuous and dutiful (of women)
风土人情	風土人情	feng1tu3ren2qing2	local conditions (human and environmental)
豪迈	豪邁	hao2mai4	bold and generous; heroic
混浊	混濁	hun4zhuo2	muddy; dirty; turbid
各抒己见	各抒己見	ge4shu1ji3jian4	everyone gives their own view
性感	性感	xing4gan3	sex appeal; sexy; sexuality
逮捕	逮捕	dai4bu3	to arrest; to capture
确保	確保	que4bao3	ensure; guarantee
恐惧	恐懼	kong3ju4	fear; dread; phobia
愤怒	憤怒	fen4nu4	angry; indignant; furious; anger; indignation; wrath; ire
惩罚	懲罰	cheng2fa2	penalty; punishment; to punish; to penalize
确信	確信	que4xin4	confident; be certain of; to firmly believe
镜头	鏡頭	jing4tou2	camera shot (in a movie, etc.); scene; camera lens
联络	聯絡	lian2luo4	communication; to contact
扮演	扮演	ban4yan3	play the part of; act
视频	視頻	shi4pin2	video
凌晨	凌晨	ling2chen2	early in the morning
城堡	城堡	cheng2bao3	castle
封锁	封鎖	feng1suo3	to block off; to seal off; cordon off; blockade
卑鄙	卑鄙	bei1bi3	base; mean; despicable; contemptible; unprincipled
领袖	領袖	ling3xiu4	leader
穿越	穿越	chuan1yue4	pass through; cut across
诱惑	誘惑	you4huo4	tempt; temptation; entice; lure; attract
挽救	挽救	wan3jiu4	to rescue; retrieve; to remedy
酗酒	酗酒	xu4jiu3	heavy drinking; drink to excess; binge drink
脱离	脫離	tuo1li2	to separate oneself from; to break away from; be divorced from; diastasis (medicine); abscission; abjunction (botany)
政策	政策	zheng4ce4	policy
收音机	收音機	shou1yin1ji1	radio
作弊	作弊	zuo4bi4	practice fraud; cheat
纯粹	純粹	chun2cui4	purely; pure
极端	極端	ji2duan1	extreme
检验	檢驗	jian3yan4	inspect; examine; to test
解放	解放	jie3fang4	liberate
圈套	圈套	quan1tao4	trap
真理	真理	zhen1li3	truth
迷惑	迷惑	mi2huo4	to puzzle; confuse; mystify
悲哀	悲哀	bei1'ai1	grieved; sorrowful; sad
别墅	別墅	bie2shu4	villa
和解	和解	he2jie3	settlement; to become reconciled
仪器	儀器	yi2qi4	apparatus; (scientific) instrument
鉴定	鑒定	jian4ding4	appraise; identify; evaluate
需求	需求	xu1qiu2	requirement; demand (economics)
探索	探索	tan4suo3	explore; quest
依赖	依賴	yi1lai4	depend on; be dependent on
意图	意圖	yi4tu2	intent; intention; intend
新郎	新郎	xin1lang2	bridegroom; groom
焦点	焦點	jiao1dian3	focus; focal point
奉献	奉獻	feng4xian4	consecrate; dedicate; devote
冷酷	冷酷	leng3ku4	grim; unfeeling; callous
勉强	勉強	mian3qiang3	reluctantly; grudgingly; force sb. to do sth.
答复	答復	da2fu4	to answer; to reply
前提	前提	qian2ti2	premise; precondition
履行	履行	lv3xing2	fulfill (one's obligations); carry out
全力以赴	全力以赴	quan2 li4 yi3 fu4	do at all costs; make an all-out effort
缘故	緣故	yuan2gu4	reason; cause
难得	難得	nan2de2	hard to come by; difficult to get; rare
测量	測量	ce4liang2	to survey; to measure
激发	激發	ji1fa1	to arouse; excite
奖赏	獎賞	jiang3shang3	to reward
墨水儿	墨水兒	mo4shui3er5	ink
原理	原理	yuan2li3	principle; theory
鄙视	鄙視	bi3shi4	despise; disdain; look down upon
款待	款待	kuan3dai4	to entertain (guests)
沸腾	沸騰	fei4teng2	to boil; boiling
渗透	滲透	shen4tou4	infiltrate; permeate
崇高	崇高	chong2gao1	lofty; sublime
筹备	籌備	chou2bei4	make preparations; get ready for something
配偶	配偶	pei4'ou3	mate; consort; spouse
前景	前景	qian2jing3	outlook; future (prospects); foreground
倾斜	傾斜	qing1xie2	incline; lean; to slant; to slope; to tilt
掀起	掀起	xian1qi3	lift; raise in height
种植	種植	zhong4zhi2	plant; grow; crop
猛烈	猛烈	meng3lie4	fierce; violent
受罪	受罪	shou4zui4	endure hardships; have a hard time
庄稼	庄稼	zhuang1jia5	farm crops
轮廓	輪廓	lun2kuo4	outline; silhouette
领悟	領悟	ling3wu4	comprehend; grasp; fathom
筛选	篩選	shai1xuan3	to filter; to sift
资深	資深	zi1shen1	experienced; senior
名额	名額	ming2'e2	particular number of people; quota
桥梁	橋梁	qiao2liang2	bridge
走漏	走漏	zou3lou4	leak (information, liquid, etc); divulge; reveal
请教	請教	qing3jiao4	consult; seek advice
结晶	結晶	jie2jing1	a crystal; to crystallize
和睦	和睦	he2mu4	peaceful relations; harmonious
停顿	停頓	ting2dun4	pause; halt
独裁	獨裁	du2cai2	dictatorship
运算	運算	yun4suan4	(mathematical) operation
谦逊	謙遜	qian1xun4	humble; modest; humility
展望	展望	zhan3wang4	outlook; prospect; to look ahead; look forward to
迟疑	遲疑	chi2yi2	hesitate
茫然	茫然	mang2ran2	unseeing; ignorant; have no knowledge of sth.
焦急	焦急	jiao1ji2	anxiety; worried
隔阂	隔閡	ge2he2	estrangement; misunderstanding
腹泻	腹瀉	fu4xie4	diarrhea
简陋	簡陋	jian3lou4	simple and crude (i.e. room or building)
提炼	提煉	ti2lian4	extract and purify (ore, minerals, etc.); refine
空想	空想	kong1xiang3	daydream; fantasy
参照	參照	can1zhao4	consult a reference; refer to (another document)
幅度	幅度	fu2du4	width; margin; extent
狭隘	狹隘	xia2'ai4	narrow; tight; narrow (minded); lacking in experience
堆积	堆積	dui1ji1	pile up; accumulate
赞叹	贊嘆	zan4tan4	sigh or grasp in admiration; highly praise
慰问	慰問	wei4wen4	to express sympathy; consolation; extend regards to; salute
装卸	裝卸	zhuang1xie4	load and unload; to transfer
油腻	油膩	you2ni4	greasy or oily (food)
无穷无尽	無窮無盡	wu2qiong2wu2jin4	vast and limitless; endless span of time; no vestige of a beginning, no prospect of an end
栽培	栽培	zai1pei2	grow; educate; cultivate
啰唆	啰唆	luo1suo5	long-winded; wordy; troublesome; pesky
家常	家常	jia1chang2	the daily life of a family; home-style (food)
飘扬	飄揚	piao1yang2	wave in the wind; flutter; fly
相等	相等	xiang1deng3	be equal to; equally; equivalent
悬殊	懸殊	xuan2shu1	a wide gap; big contrast; large disparity; a mismatch
喧哗	喧嘩	xuan1hua2	cause a scene
谢绝	謝絕	xie4jue2	politely refuse
职能	職能	zhi2neng2	function; role
雄厚	雄厚	xiong2hou4	abundant; strong and solid; rich
短促	短促	duan3cu4	short in time duration; fleeting; brief
立交桥	立交橋	li4jiao1qiao2	overpass; one road goes on top of another; cloverleaf intersection
珍稀	珍稀	zhen1xi1	rare; precious and uncommon
稿件	稿件	gao3jian4	rough draft of a document
不敢当	不敢當	bu4 gan3dang1	(literally) I dare not accept the honor; you flatter me
清真	清真	qing1zhen1	Muslim
温带	溫帶	wen1dai4	temperate zone
将就	將就	jiang1jiu5	put up with; accept somewhat reluctantly
搭档	搭檔	da1dang4	team up; cooperate; work together
能量	能量	neng2liang4	energy; capabilities
感染	感染	gan3ran3	infection; infect; influence
清理	清理	qing1li3	cleanup; put in order; check up
荒谬	荒謬	huang1miu4	ridiculous; nonsensical
荣誉	榮譽	rong2yu4	honor; glory
漫画	漫畫	man4hua4	comics; manga
欲望	欲望	yu4wang4	desire; lust
隔离	隔離	ge2li2	insulate; separate; isolate
难堪	難堪	nan2kan1	hard to take; endure; embarrassed
解除	解除	jie3chu2	remove; relieve (someone of their duties); sack; get rid of
掩盖	掩蓋	yan3gai4	conceal; cover up; hide behind
双胞胎	雙胞胎	shuang1bao1tai1	twins
屏幕	屏幕	ping2mu4	screen (TV, etc.)
遭受	遭受	zao1shou4	suffer; suffering; be subjected to (something unfortunate)
故障	故障	gu4zhang4	malfunction; breakdown
携带	攜帶	xie2dai4	take with; portable
误解	誤解	wu4jie3	misunderstand; misread
等候	等候	deng3hou4	wait; queue
回避	回避	hui2bi4	avoid; shun; evade
演绎	演繹	yan3yi4	deduction; to deduce; to infer
脉搏	脈搏	mai4bo2	pulse; throbbing
保障	保障	bao3zhang4	ensure; to guarantee; protect
埋葬	埋葬	mai2zang4	bury (person)
彩票	彩票	cai3piao4	lottery; lottery ticket
家属	家屬	jia1shu3	family member; a dependent
腐败	腐敗	fu3bai4	corruption; corrupt; rotten
油漆	油漆	you2qi1	oil paint; varnish
信赖	信賴	xin4lai4	trust; have confidence in; confide
预期	預期	yu4qi1	expect; expected; anticipate
探望	探望	tan4wang4	pay a visit; look around
通缉	通緝	tong1ji1	order the arrest of a criminal
搭配	搭配	da1pei4	pair up; arrange in pairs; to add sth. into a group; to suit
共和国	共和國	gong4he2guo2	republic
宫殿	宮殿	gong1dian4	palace
旗帜	旗幟	qi2zhi4	flag; banner
疲惫	疲憊	pi2bei4	beaten; exhausted; tired
清晨	清晨	qing1chen2	early morning
擅自	擅自	shan4zi4	unauthorized
废墟	廢墟	fei4xu1	ruins
推理	推理	tui1li3	reasoning; speculative; inference
偏偏	偏偏	pian1pian1	unexpectedly; contrary to expectations
诽谤	誹謗	fei3bang4	slander; libel
喜悦	喜悅	xi3yue4	happy; joyous
较量	較量	jiao4liang4	competition; to have a contest with sb.
模范	模范	mo2fan4	model; exemplar
虚假	虛假	xu1jia3	false; phony; pretense; deceit
智能	智能	zhi4neng2	intelligent; capability; smart (phone, system, bomb, etc.)
美满	美滿	mei3man3	happy; blissful
派遣	派遣	pai4qian3	send (on a mission); dispatch
慎重	慎重	shen4zhong4	cautious; careful; prudent
敏捷	敏捷	min3jie2	nimble; agile; shrewd
嗅觉	嗅覺	xiu4jue2	sense of smell; scent
混淆	混淆	hun4xiao2	obscure; confuse; mix up; blur; mislead; confusing
和蔼	和藹	he2'ai3	kindly; good-tempered; amiable
国务院	國務院	guo2wu4yuan4	State Council (PRC); State Department (USA)
宽敞	寬敞	kuan1chang5	spacious; commodious
盘旋	盤旋	pan2xuan2	spiral; coil; circle; go around
题材	題材	ti2cai2	subject matter
演变	演變	yan3bian4	develop; evolve
情理	情理	qing2li3	reason; sense
含糊	含糊	han2hu5	unclear; vague; unsure
过瘾	過癮	guo4yin3	satisfy a craving; get a kick out of sth; do to one's heart's content
高超	高超	gao1chao1	excellent; superb
顽强	頑強	wan2qiang2	tenacious; hard to defeat
蔑视	蔑視	mie4shi4	despise; loathe; disparage; scorn
信誉	信譽	xin4yu4	reputation; prestige; trust
遗留	遺留	yi2liu2	legacy; leave over; hand down
